year_month,permno,size_group,weight,tau,ur,size_group_ppt,stock_demand_elasticity
199902,600613,Small,0.12061043593871264,79.95622158021918,0.001508455921941053,0.06723733292448425,45.573614612460474
199902,600615,Medium,0.08031948375126814,88.70260864660918,0.0009054917885364638,0.039275995752176975,44.37531963228328
199902,600627,Large,0.011780553338949425,168.0388695051529,7.01061211232927e-05,0.010866061616414086,155.99447754789338
199902,600636,Small,0.07841106613039983,181.36764153919037,0.0004323321705291987,0.06723733292448425,156.52239113314656
199902,600646,Large,0.03424405919883075,38.18025523490749,0.0008969049313091561,0.010866061616414086,13.115065083379099
199902,600657,Medium,0.14851333073453063,43.69616737347611,0.0033987724704816857,0.039275995752176975,12.555935589477881
199902,600661,Small,0.010422378085852911,74.04012380126105,0.00014076662153927134,0.06723733292448425,478.65110925622554
199902,600666,Small,0.02121239016712415,18.385970449062803,0.0011537269803566675,0.06723733292448425,59.27837440682738
199902,600667,Medium,0.049630977769923465,79.28532828365988,0.00062597934377415,0.039275995752176975,63.74327762218867
199902,600669,Large,0.154246744413735,43.020456530271346,0.0035854278837138625,0.010866061616414086,4.030617814339857
199902,600672,Medium,0.06443631857943351,49.899304418153996,0.0012913269900409828,0.039275995752176975,31.41522097430216
199902,600679,Medium,0.14152953688740116,117.8922118010518,0.0012004994623922942,0.039275995752176975,33.71637929259025
199902,600683,Small,0.04807907677900669,28.9738519512967,0.0016593954045124796,0.06723733292448425,41.51917508126291
199902,600691,Small,0.019774279931086092,99.63351450636289,0.00019847016366990897,0.06723733292448425,339.77803938486113
199902,600699,Medium,0.05887401294814383,36.21535668936795,0.0016256643128805073,0.039275995752176975,25.15996675388907
199902,600801,Small,0.008157599639985396,92.33298354019686,8.834978928666386e-05,0.06723733292448425,762.0355776438
199902,600807,Small,0.021776051960131368,69.20362326634942,0.0003146663560709844,0.06723733292448425,214.6781757161113
199902,600809,Medium,0.054220407036033584,65.78079573105406,0.000824258910726995,0.039275995752176975,48.650071162149295
199902,600818,Medium,0.12983210978637758,67.80917111483166,0.001914668881094461,0.039275995752176975,21.5132052544386
199903,600613,Small,0.11840005381897133,79.89646648295155,0.0014819185256989523,0.06723733292448425,46.37181481874755
199903,600615,Medium,0.07709280260014607,88.82242689493913,0.0008679429879948329,0.039275995752176975,46.251815263712686
199903,600627,Large,0.02071144007485632,166.792887261108,0.00012417460009810454,0.010866061616414086,88.50631455893009
199903,600636,Small,0.06488604768697352,180.95296500655442,0.00035857963247313044,0.06723733292448425,188.51018416954446
199903,600646,Large,0.03631103513595253,38.04175239199775,0.0009545047967766785,0.010866061616414086,12.383978009443544
199903,600657,Medium,0.1467460854872159,43.73758280642898,0.0033551485032146246,0.039275995752176975,12.706186988309453
199903,600661,Small,0.009284277838664303,74.08421840985822,0.00012532058835122793,0.06723733292448425,537.5226401271156
199903,600666,Small,0.017921009096787337,18.468670838178948,0.0009703464452753433,0.06723733292448425,70.2920896983398
199903,600667,Medium,0.048824644167981504,79.58540671189215,0.0006134873990747078,0.039275995752176975,65.02086792885231
199903,600669,Medium,0.1539565036068031,43.05249095770161,0.003576018487712196,0.039275995752176975,11.983163506323006
199903,600672,Medium,0.06306898690329112,49.919695551982734,0.0012634088851286296,0.039275995752176975,32.08731956414746
199903,600679,Large,0.13969040814886757,118.14675461889883,0.0011823465536523728,0.010866061616414086,10.190251016377443
199903,600683,Small,0.04650763899047322,28.963722170488136,0.0016057203807133954,0.06723733292448425,42.87362490511069
199903,600691,Small,0.020718369316770523,99.35330702609075,0.00020853225661959858,0.06723733292448425,323.4313303583416
199903,600699,Small,0.05955380465054634,36.21991325967327,0.001644228251558313,0.06723733292448425,41.89294345889036
199903,600801,Small,0.0006646132637527475,92.73006347004363,7.1671822371549465e-06,0.06723733292448425,9382.278541505942
199903,600807,Small,0.01965738738738651,69.25615374688758,0.0002838359672590095,0.06723733292448425,237.88799405442512
199903,600809,Medium,0.05332797756316867,66.63576021245565,0.0008002906756543693,0.039275995752176975,50.07716276971787
