year_month,n_stocks_available,n_hold_total,avg_monthly_ur_total,demand_elasticity_total,n_hold_small,avg_ur_small,demand_elasticity_small,n_hold_medium,avg_ur_medium,demand_elasticity_medium,n_hold_large,avg_ur_large,demand_elasticity_large
199902,122,19,0.001149224447577899,134.33189441903298,0,,,0,,,0,,
199903,139,20,0.0011389943148459804,563.4991173492441,0,,,0,,,0,,
199904,150,17,0.0012182670207218829,90.88585309551388,0,,,0,,,0,,
199905,157,18,0.0012058166069440128,239.10451687847066,0,,,0,,,0,,
199906,163,21,0.0009512023471299111,332.59178155465855,0,,,0,,,0,,
199907,164,14,0.0009440459674905954,283.1200866482381,0,,,0,,,0,,
199908,164,14,0.000965214588914047,119.14990331718379,0,,,0,,,0,,
199909,168,15,0.0008387284463070034,120.07851406643394,0,,,0,,,0,,
199910,169,15,0.000843016641957104,366.2057905259942,0,,,0,,,0,,
199911,169,14,0.0009208001299968687,175.10674931482575,0,,,0,,,0,,
199912,169,15,0.0008567593303755238,182.84981789025957,0,,,0,,,0,,
200001,169,14,0.0009272999167146926,107.34857945768098,0,,,0,,,0,,
200003,173,13,0.001267730006602035,135.46634226379462,0,,,0,,,0,,
200004,173,18,0.0009755875594765228,155.23307935600718,0,,,0,,,0,,
200005,174,18,0.000986063543637832,241.39219595971826,0,,,0,,,0,,
200006,174,20,0.0008586052203031233,457.741802371541,12,0.0005264939128639684,730.4727834928484,0,,,0,,
200007,175,16,0.0010641763771723567,127.89979662445741,0,,,0,,,0,,
200008,175,19,0.0008702327771424597,356.92608305284676,0,,,0,,,0,,
200009,175,18,0.0009159211881566281,190.79290202634044,0,,,0,,,0,,
200010,175,17,0.0010118510123317988,124.35258811018869,0,,,0,,,0,,
200011,179,17,0.0010133356474900962,362.5883864485619,0,,,0,,,0,,
200012,182,16,0.001047765540787152,438.6966126371705,0,,,0,,,0,,
200101,184,15,0.0011299514666260949,322.2619688467118,0,,,0,,,0,,
200102,186,15,0.0011542304746807485,163.5720826605201,0,,,0,,,0,,
200103,188,15,0.0011190792369326324,176.49031219704284,0,,,0,,,0,,
200104,194,15,0.0011249860220494748,231.5686317625681,0,,,0,,,0,,
200105,198,14,0.0012361496851966615,147.14966434494437,0,,,0,,,0,,
200106,207,14,0.0013057730653100138,114.58532148217853,0,,,0,,,0,,
200107,216,15,0.00114008577576504,98.62621216390428,0,,,0,,,0,,
200108,232,15,0.0011377978117007423,95.46285033361755,0,,,0,,,0,,
200109,243,13,0.0013069970234576111,93.02109071817365,0,,,0,,,0,,
200110,253,14,0.0013358619195179707,94.03652705045377,0,,,0,,,0,,
200111,264,14,0.0014103763935854215,114.65217626347714,0,,,0,,,0,,
200112,277,15,0.0013022858168860554,179.8922713673549,0,,,0,,,0,,
200201,286,15,0.0013433500185004521,202.5991798376642,0,,,0,,,0,,
200202,290,16,0.0012225813211152656,140.59699002044198,0,,,0,,,0,,
200203,293,16,0.0012075723489894303,93.06826245059312,0,,,0,,,0,,
200204,295,16,0.001193759659571058,102.53458689773694,0,,,0,,,0,,
200205,304,18,0.00104204504429959,189.74721655020537,0,,,0,,,0,,
200206,320,17,0.0010787853787274208,100.994461597664,0,,,0,,,0,,
